key;en;ru
TEST_DIALOGUE_1;"One? One-Two? [wave]
[b]А?! [/b] не?";"Раз? Раз-два? [enter][wave]
[b]А?! [/b] не?"
TEST_DIALOGUE_2;Hui Zalupa хуй;Хуй залупа хуй
C_1;1;1
C_2;2;2
TUTOR_TEST_1;;[wave]Хелло зе![/wave]
TUTOR_TEST_2;;"Давай кратко:
Ты можешь бить нунчаками в 3 направления,
используя ЛКМ, ПКМ и колёсико мыши"
TUTOR_TEST_3;;Если использовать удары в правильной последовательности, то получишь комбо
TUTOR_TEST_4;;Например, попробуй ударить [b]ВПРАВО, ВПРАВО, ВЛЕВО
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
