key;en;ru
Fucks_1_hello_1;;[color=#66CDAA]О, Корч! Здорова!
Korch_1_hello_2;;"[color=LightSalmon](Так... Если он обратился по имени, а не назвал ""Кончёй"", то ему что-то нужно и скорее всего это ""душа"")"
Korch_1_hello_3;;[color=LightSalmon]Привет. Что же ты тут забыл?
Fucks_1_hello_4;;[color=#66CDAA]Ничего такого, просто прогуливаюсь после работы
Fucks_1_hello_5;;[color=#66CDAA]А ты, как я чувствую, нашёл ту самую душу о которой  ходят слухи?
Korch_1_hello_6;;[color=LightSalmon]Я её тебе не дам.
Fucks_1_hello_7;;"[color=#66CDAA]Не кипятись. Я понимаю, что не смогу её сам доставить.
Как ни как, а за этой штукой охотятся всякий сброд"
Fucks_1_hello_8;;"[color=#66CDAA]Но у меня есть то, что может помочь тебе…
Думаю это будет лучше, чем ничего"
Korch_1_hello_9;;[color=LightSalmon]Что? Ты зачем это с собой тоскаешь?...
Fucks_1_hello_10;;"[color=#66CDAA]Неважно
Лучше пойди и опробуй их"
Fucks_1_hello_11;;"[color=#66CDAA]Если говорить кратко о том, как пользоваться ими, то ты можешь бить в 3 направления: 
влево (ЛКМ), вправо (ПКМ) и посередине (Колёсико мыши) "
Fucks_1_hello_12;;"[color=#66CDAA]Некоторые последовательности ударов более эффективны и называются комбо
Например, попробуй ударить ВЛЕВО, ВЛЕВО, ВПРАВО"
